#     time (fs)  |  E_x (eV/ang)  | E_y (eV/ang) | E_z (eV/ang)
     0.00000000     0.00000000     0.00000000     0.00000000
     0.00241888     0.01239460     0.01239460     0.00000000
     0.00483777     0.02478737     0.02478737     0.00000000
     0.00725665     0.03717650     0.03717650     0.00000000
     0.00967554     0.04956016     0.04956016     0.00000000
     0.01209442     0.06193654     0.06193654     0.00000000
     0.01451331     0.07430382     0.07430382     0.00000000
     0.01693219     0.08666017     0.08666017     0.00000000
     0.01935107     0.09900378     0.09900378     0.00000000
     0.02176996     0.11133284     0.11133284     0.00000000
     0.02418884     0.12364553     0.12364553     0.00000000
     0.02660773     0.13594004     0.13594004     0.00000000
     0.02902661     0.14821457     0.14821457     0.00000000
     0.03144550     0.16046732     0.16046732     0.00000000
     0.03386438     0.17269647     0.17269647     0.00000000
     0.03628326     0.18490024     0.18490024     0.00000000
     0.03870215     0.19707682     0.19707682     0.00000000
     0.04112103     0.20922444     0.20922444     0.00000000
     0.04353992     0.22134129     0.22134129     0.00000000
     0.04595880     0.23342561     0.23342561     0.00000000
     0.04837769     0.24547562     0.24547562     0.00000000
     0.05079657     0.25748953     0.25748953     0.00000000
     0.05321546     0.26946560     0.26946560     0.00000000
     0.05563434     0.28140206     0.28140206     0.00000000
     0.05805322     0.29329714     0.29329714     0.00000000
     0.06047211     0.30514911     0.30514911     0.00000000
     0.06289099     0.31695622     0.31695622     0.00000000
     0.06530988     0.32871674     0.32871674     0.00000000
     0.06772876     0.34042894     0.34042894     0.00000000
     0.07014765     0.35209109     0.35209109     0.00000000
     0.07256653     0.36370148     0.36370148     0.00000000
     0.07498541     0.37525841     0.37525841     0.00000000
     0.07740430     0.38676017     0.38676017     0.00000000
     0.07982318     0.39820508     0.39820508     0.00000000
     0.08224207     0.40959145     0.40959145     0.00000000
     0.08466095     0.42091760     0.42091760     0.00000000
     0.08707984     0.43218188     0.43218188     0.00000000
     0.08949872     0.44338263     0.44338263     0.00000000
     0.09191760     0.45451820     0.45451820     0.00000000
     0.09433649     0.46558695     0.46558695     0.00000000
     0.09675537     0.47658726     0.47658726     0.00000000
     0.09917426     0.48751751     0.48751751     0.00000000
     0.10159314     0.49837609     0.49837609     0.00000000
     0.10401203     0.50916141     0.50916141     0.00000000
     0.10643091     0.51987188     0.51987188     0.00000000
     0.10884979     0.53050593     0.53050593     0.00000000
     0.11126868     0.54106199     0.54106199     0.00000000
     0.11368756     0.55153851     0.55153851     0.00000000
     0.11610645     0.56193395     0.56193395     0.00000000
     0.11852533     0.57224679     0.57224679     0.00000000
     0.12094422     0.58247550     0.58247550     0.00000000
     0.12336310     0.59261859     0.59261859     0.00000000
     0.12578198     0.60267455     0.60267455     0.00000000
     0.12820087     0.61264193     0.61264193     0.00000000
     0.13061975     0.62251924     0.62251924     0.00000000
     0.13303864     0.63230504     0.63230504     0.00000000
     0.13545752     0.64199789     0.64199789     0.00000000
     0.13787641     0.65159636     0.65159636     0.00000000
     0.14029529     0.66109904     0.66109904     0.00000000
     0.14271418     0.67050454     0.67050454     0.00000000
     0.14513306     0.67981148     0.67981148     0.00000000
     0.14755194     0.68901847     0.68901847     0.00000000
     0.14997083     0.69812418     0.69812418     0.00000000
     0.15238971     0.70712726     0.70712726     0.00000000
     0.15480860     0.71602639     0.71602639     0.00000000
     0.15722748     0.72482027     0.72482027     0.00000000
     0.15964637     0.73350759     0.73350759     0.00000000
     0.16206525     0.74208708     0.74208708     0.00000000
     0.16448413     0.75055748     0.75055748     0.00000000
     0.16690302     0.75891754     0.75891754     0.00000000
     0.16932190     0.76716605     0.76716605     0.00000000
     0.17174079     0.77530177     0.77530177     0.00000000
     0.17415967     0.78332353     0.78332353     0.00000000
     0.17657856     0.79123013     0.79123013     0.00000000
     0.17899744     0.79902041     0.79902041     0.00000000
     0.18141632     0.80669324     0.80669324     0.00000000
     0.18383521     0.81424748     0.81424748     0.00000000
     0.18625409     0.82168202     0.82168202     0.00000000
     0.18867298     0.82899577     0.82899577     0.00000000
     0.19109186     0.83618766     0.83618766     0.00000000
     0.19351075     0.84325662     0.84325662     0.00000000
     0.19592963     0.85020162     0.85020162     0.00000000
     0.19834851     0.85702164     0.85702164     0.00000000
     0.20076740     0.86371567     0.86371567     0.00000000
     0.20318628     0.87028273     0.87028273     0.00000000
     0.20560517     0.87672185     0.87672185     0.00000000
     0.20802405     0.88303210     0.88303210     0.00000000
     0.21044294     0.88921253     0.88921253     0.00000000
     0.21286182     0.89526225     0.89526225     0.00000000
     0.21528071     0.90118036     0.90118036     0.00000000
     0.21769959     0.90696599     0.90696599     0.00000000
     0.22011847     0.91261829     0.91261829     0.00000000
     0.22253736     0.91813643     0.91813643     0.00000000
     0.22495624     0.92351961     0.92351961     0.00000000
     0.22737513     0.92876702     0.92876702     0.00000000
     0.22979401     0.93387790     0.93387790     0.00000000
     0.23221290     0.93885150     0.93885150     0.00000000
     0.23463178     0.94368708     0.94368708     0.00000000
     0.23705066     0.94838394     0.94838394     0.00000000
     0.23946955     0.95294137     0.95294137     0.00000000
     0.24188843     0.95735873     0.95735873     0.00000000
     0.24430732     0.96163534     0.96163534     0.00000000
     0.24672620     0.96577060     0.96577060     0.00000000
     0.24914509     0.96976387     0.96976387     0.00000000
     0.25156397     0.97361459     0.97361459     0.00000000
     0.25398285     0.97732219     0.97732219     0.00000000
     0.25640174     0.98088611     0.98088611     0.00000000
     0.25882062     0.98430584     0.98430584     0.00000000
     0.26123951     0.98758088     0.98758088     0.00000000
     0.26365839     0.99071073     0.99071073     0.00000000
     0.26607728     0.99369494     0.99369494     0.00000000
     0.26849616     0.99653308     0.99653308     0.00000000
     0.27091504     0.99922472     0.99922472     0.00000000
     0.27333393     1.00176948     1.00176948     0.00000000
     0.27575281     1.00416697     1.00416697     0.00000000
     0.27817170     1.00641684     1.00641684     0.00000000
     0.28059058     1.00851876     1.00851876     0.00000000
     0.28300947     1.01047243     1.01047243     0.00000000
     0.28542835     1.01227755     1.01227755     0.00000000
     0.28784723     1.01393387     1.01393387     0.00000000
     0.29026612     1.01544113     1.01544113     0.00000000
     0.29268500     1.01679912     1.01679912     0.00000000
     0.29510389     1.01800763     1.01800763     0.00000000
     0.29752277     1.01906649     1.01906649     0.00000000
     0.29994166     1.01997555     1.01997555     0.00000000
     0.30236054     1.02073466     1.02073466     0.00000000
     0.30477943     1.02134372     1.02134372     0.00000000
     0.30719831     1.02180264     1.02180264     0.00000000
     0.30961719     1.02211135     1.02211135     0.00000000
     0.31203608     1.02226981     1.02226981     0.00000000
     0.31445496     1.02227799     1.02227799     0.00000000
     0.31687385     1.02213589     1.02213589     0.00000000
     0.31929273     1.02184353     1.02184353     0.00000000
     0.32171162     1.02140095     1.02140095     0.00000000
     0.32413050     1.02080823     1.02080823     0.00000000
     0.32654938     1.02006544     1.02006544     0.00000000
     0.32896827     1.01917270     1.01917270     0.00000000
     0.33138715     1.01813013     1.01813013     0.00000000
     0.33380604     1.01693790     1.01693790     0.00000000
     0.33622492     1.01559617     1.01559617     0.00000000
     0.33864381     1.01410514     1.01410514     0.00000000
     0.34106269     1.01246504     1.01246504     0.00000000
     0.34348157     1.01067610     1.01067610     0.00000000
     0.34590046     1.00873858     1.00873858     0.00000000
     0.34831934     1.00665278     1.00665278     0.00000000
     0.35073823     1.00441899     1.00441899     0.00000000
     0.35315711     1.00203756     1.00203756     0.00000000
     0.35557600     0.99950881     0.99950881     0.00000000
     0.35799488     0.99683314     0.99683314     0.00000000
     0.36041376     0.99401092     0.99401092     0.00000000
     0.36283265     0.99104259     0.99104259     0.00000000
     0.36525153     0.98792856     0.98792856     0.00000000
     0.36767042     0.98466931     0.98466931     0.00000000
     0.37008930     0.98126530     0.98126530     0.00000000
     0.37250819     0.97771704     0.97771704     0.00000000
     0.37492707     0.97402506     0.97402506     0.00000000
     0.37734595     0.97018989     0.97018989     0.00000000
     0.37976484     0.96621210     0.96621210     0.00000000
     0.38218372     0.96209227     0.96209227     0.00000000
     0.38460261     0.95783101     0.95783101     0.00000000
     0.38702149     0.95342894     0.95342894     0.00000000
     0.38944038     0.94888672     0.94888672     0.00000000
     0.39185926     0.94420500     0.94420500     0.00000000
     0.39427815     0.93938448     0.93938448     0.00000000
     0.39669703     0.93442587     0.93442587     0.00000000
     0.39911591     0.92932990     0.92932990     0.00000000
     0.40153480     0.92409731     0.92409731     0.00000000
     0.40395368     0.91872887     0.91872887     0.00000000
     0.40637257     0.91322538     0.91322538     0.00000000
     0.40879145     0.90758763     0.90758763     0.00000000
     0.41121034     0.90181647     0.90181647     0.00000000
     0.41362922     0.89591274     0.89591274     0.00000000
     0.41604810     0.88987730     0.88987730     0.00000000
     0.41846699     0.88371105     0.88371105     0.00000000
     0.42088587     0.87741489     0.87741489     0.00000000
     0.42330476     0.87098975     0.87098975     0.00000000
     0.42572364     0.86443657     0.86443657     0.00000000
     0.42814253     0.85775631     0.85775631     0.00000000
     0.43056141     0.85094995     0.85094995     0.00000000
     0.43298029     0.84401851     0.84401851     0.00000000
     0.43539918     0.83696299     0.83696299     0.00000000
     0.43781806     0.82978443     0.82978443     0.00000000
     0.44023695     0.82248389     0.82248389     0.00000000
     0.44265583     0.81506244     0.81506244     0.00000000
     0.44507472     0.80752117     0.80752117     0.00000000
     0.44749360     0.79986120     0.79986120     0.00000000
     0.44991248     0.79208364     0.79208364     0.00000000
     0.45233137     0.78418964     0.78418964     0.00000000
     0.45475025     0.77618037     0.77618037     0.00000000
     0.45716914     0.76805699     0.76805699     0.00000000
     0.45958802     0.75982070     0.75982070     0.00000000
     0.46200691     0.75147272     0.75147272     0.00000000
     0.46442579     0.74301426     0.74301426     0.00000000
     0.46684468     0.73444658     0.73444658     0.00000000
     0.46926356     0.72577094     0.72577094     0.00000000
     0.47168244     0.71698860     0.71698860     0.00000000
     0.47410133     0.70810086     0.70810086     0.00000000
     0.47652021     0.69910903     0.69910903     0.00000000
     0.47893910     0.69001443     0.69001443     0.00000000
     0.48135798     0.68081839     0.68081839     0.00000000
     0.48377687     0.67152226     0.67152226     0.00000000
     0.48619575     0.66212743     0.66212743     0.00000000
     0.48861463     0.65263525     0.65263525     0.00000000
     0.49103352     0.64304714     0.64304714     0.00000000
     0.49345240     0.63336449     0.63336449     0.00000000
     0.49587129     0.62358874     0.62358874     0.00000000
     0.49829017     0.61372132     0.61372132     0.00000000
     0.50070906     0.60376367     0.60376367     0.00000000
     0.50312794     0.59371727     0.59371727     0.00000000
     0.50554682     0.58358360     0.58358360     0.00000000
     0.50796571     0.57336413     0.57336413     0.00000000
     0.51038459     0.56306038     0.56306038     0.00000000
     0.51280348     0.55267385     0.55267385     0.00000000
     0.51522236     0.54220608     0.54220608     0.00000000
     0.51764125     0.53165860     0.53165860     0.00000000
     0.52006013     0.52103297     0.52103297     0.00000000
     0.52247901     0.51033074     0.51033074     0.00000000
     0.52489790     0.49955349     0.49955349     0.00000000
     0.52731678     0.48870281     0.48870281     0.00000000
     0.52973567     0.47778028     0.47778028     0.00000000
     0.53215455     0.46678752     0.46678752     0.00000000
     0.53457344     0.45572613     0.45572613     0.00000000
     0.53699232     0.44459776     0.44459776     0.00000000
     0.53941120     0.43340402     0.43340402     0.00000000
     0.54183009     0.42214658     0.42214658     0.00000000
     0.54424897     0.41082708     0.41082708     0.00000000
     0.54666786     0.39944718     0.39944718     0.00000000
     0.54908674     0.38800856     0.38800856     0.00000000
     0.55150563     0.37651291     0.37651291     0.00000000
     0.55392451     0.36496190     0.36496190     0.00000000
     0.55634340     0.35335724     0.35335724     0.00000000
     0.55876228     0.34170064     0.34170064     0.00000000
     0.56118116     0.32999381     0.32999381     0.00000000
     0.56360005     0.31823847     0.31823847     0.00000000
     0.56601893     0.30643634     0.30643634     0.00000000
     0.56843782     0.29458917     0.29458917     0.00000000
     0.57085670     0.28269869     0.28269869     0.00000000
     0.57327559     0.27076665     0.27076665     0.00000000
     0.57569447     0.25879481     0.25879481     0.00000000
     0.57811335     0.24678493     0.24678493     0.00000000
     0.58053224     0.23473877     0.23473877     0.00000000
     0.58295112     0.22265810     0.22265810     0.00000000
     0.58537001     0.21054469     0.21054469     0.00000000
     0.58778889     0.19840034     0.19840034     0.00000000
     0.59020778     0.18622682     0.18622682     0.00000000
     0.59262666     0.17402593     0.17402593     0.00000000
     0.59504554     0.16179945     0.16179945     0.00000000
     0.59746443     0.14954919     0.14954919     0.00000000
     0.59988331     0.13727694     0.13727694     0.00000000
     0.60230220     0.12498451     0.12498451     0.00000000
     0.60472108     0.11267371     0.11267371     0.00000000
     0.60713997     0.10034635     0.10034635     0.00000000
     0.60955885     0.08800423     0.08800423     0.00000000
     0.61197773     0.07564918     0.07564918     0.00000000
     0.61439662     0.06328300     0.06328300     0.00000000
     0.61681550     0.05090753     0.05090753     0.00000000
     0.61923439     0.03852457     0.03852457     0.00000000
     0.62165327     0.02613594     0.02613594     0.00000000
     0.62407216     0.01374348     0.01374348     0.00000000
     0.62649104     0.00134899     0.00134899     0.00000000
     0.62890992    -0.01104569    -0.01104569    -0.00000000
     0.63132881    -0.02343875    -0.02343875    -0.00000000
     0.63374769    -0.03582836    -0.03582836    -0.00000000
     0.63616658    -0.04821271    -0.04821271    -0.00000000
     0.63858546    -0.06058997    -0.06058997    -0.00000000
     0.64100435    -0.07295833    -0.07295833    -0.00000000
     0.64342323    -0.08531595    -0.08531595    -0.00000000
     0.64584212    -0.09766104    -0.09766104    -0.00000000
     0.64826100    -0.10999177    -0.10999177    -0.00000000
     0.65067988    -0.12230633    -0.12230633    -0.00000000
     0.65309877    -0.13460291    -0.13460291    -0.00000000
     0.65551765    -0.14687970    -0.14687970    -0.00000000
     0.65793654    -0.15913491    -0.15913491    -0.00000000
     0.66035542    -0.17136671    -0.17136671    -0.00000000
     0.66277431    -0.18357333    -0.18357333    -0.00000000
     0.66519319    -0.19575296    -0.19575296    -0.00000000
     0.66761207    -0.20790381    -0.20790381    -0.00000000
     0.67003096    -0.22002410    -0.22002410    -0.00000000
     0.67244984    -0.23211205    -0.23211205    -0.00000000
     0.67486873    -0.24416588    -0.24416588    -0.00000000
     0.67728761    -0.25618381    -0.25618381    -0.00000000
     0.67970650    -0.26816408    -0.26816408    -0.00000000
     0.68212538    -0.28010493    -0.28010493    -0.00000000
     0.68454426    -0.29200460    -0.29200460    -0.00000000
     0.68696315    -0.30386135    -0.30386135    -0.00000000
     0.68938203    -0.31567343    -0.31567343    -0.00000000
     0.69180092    -0.32743910    -0.32743910    -0.00000000
     0.69421980    -0.33915664    -0.33915664    -0.00000000
     0.69663869    -0.35082432    -0.35082432    -0.00000000
     0.69905757    -0.36244043    -0.36244043    -0.00000000
     0.70147645    -0.37400326    -0.37400326    -0.00000000
     0.70389534    -0.38551111    -0.38551111    -0.00000000
     0.70631422    -0.39696228    -0.39696228    -0.00000000
     0.70873311    -0.40835511    -0.40835511    -0.00000000
     0.71115199    -0.41968790    -0.41968790    -0.00000000
     0.71357088    -0.43095899    -0.43095899    -0.00000000
     0.71598976    -0.44216673    -0.44216673    -0.00000000
     0.71840864    -0.45330948    -0.45330948    -0.00000000
     0.72082753    -0.46438558    -0.46438558    -0.00000000
     0.72324641    -0.47539342    -0.47539342    -0.00000000
     0.72566530    -0.48633137    -0.48633137    -0.00000000
     0.72808418    -0.49719783    -0.49719783    -0.00000000
     0.73050307    -0.50799120    -0.50799120    -0.00000000
     0.73292195    -0.51870989    -0.51870989    -0.00000000
     0.73534084    -0.52935233    -0.52935233    -0.00000000
     0.73775972    -0.53991695    -0.53991695    -0.00000000
     0.74017860    -0.55040220    -0.55040220    -0.00000000
     0.74259749    -0.56080654    -0.56080654    -0.00000000
     0.74501637    -0.57112844    -0.57112844    -0.00000000
     0.74743526    -0.58136639    -0.58136639    -0.00000000
     0.74985414    -0.59151886    -0.59151886    -0.00000000
     0.75227303    -0.60158439    -0.60158439    -0.00000000
     0.75469191    -0.61156147    -0.61156147    -0.00000000
     0.75711079    -0.62144866    -0.62144866    -0.00000000
     0.75952968    -0.63124449    -0.63124449    -0.00000000
     0.76194856    -0.64094752    -0.64094752    -0.00000000
     0.76436745    -0.65055633    -0.65055633    -0.00000000
     0.76678633    -0.66006951    -0.66006951    -0.00000000
     0.76920522    -0.66948565    -0.66948565    -0.00000000
     0.77162410    -0.67880338    -0.67880338    -0.00000000
     0.77404298    -0.68802132    -0.68802132    -0.00000000
     0.77646187    -0.69713812    -0.69713812    -0.00000000
     0.77888075    -0.70615243    -0.70615243    -0.00000000
     0.78129964    -0.71506294    -0.71506294    -0.00000000
     0.78371852    -0.72386833    -0.72386833    -0.00000000
     0.78613741    -0.73256731    -0.73256731    -0.00000000
     0.78855629    -0.74115860    -0.74115860    -0.00000000
     0.79097517    -0.74964093    -0.74964093    -0.00000000
     0.79339406    -0.75801307    -0.75801307    -0.00000000
     0.79581294    -0.76627377    -0.76627377    -0.00000000
     0.79823183    -0.77442183    -0.77442183    -0.00000000
     0.80065071    -0.78245604    -0.78245604    -0.00000000
     0.80306960    -0.79037523    -0.79037523    -0.00000000
     0.80548848    -0.79817824    -0.79817824    -0.00000000
     0.80790737    -0.80586390    -0.80586390    -0.00000000
     0.81032625    -0.81343110    -0.81343110    -0.00000000
     0.81274513    -0.82087872    -0.82087872    -0.00000000
     0.81516402    -0.82820567    -0.82820567    -0.00000000
     0.81758290    -0.83541087    -0.83541087    -0.00000000
     0.82000179    -0.84249327    -0.84249327    -0.00000000
     0.82242067    -0.84945181    -0.84945181    -0.00000000
     0.82483956    -0.85628547    -0.85628547    -0.00000000
     0.82725844    -0.86299326    -0.86299326    -0.00000000
     0.82967732    -0.86957419    -0.86957419    -0.00000000
     0.83209621    -0.87602729    -0.87602729    -0.00000000
     0.83451509    -0.88235160    -0.88235160    -0.00000000
     0.83693398    -0.88854621    -0.88854621    -0.00000000
     0.83935286    -0.89461019    -0.89461019    -0.00000000
     0.84177175    -0.90054267    -0.90054267    -0.00000000
     0.84419063    -0.90634276    -0.90634276    -0.00000000
     0.84660951    -0.91200961    -0.91200961    -0.00000000
     0.84902840    -0.91754240    -0.91754240    -0.00000000
     0.85144728    -0.92294030    -0.92294030    -0.00000000
     0.85386617    -0.92820253    -0.92820253    -0.00000000
     0.85628505    -0.93332831    -0.93332831    -0.00000000
     0.85870394    -0.93831688    -0.93831688    -0.00000000
     0.86112282    -0.94316752    -0.94316752    -0.00000000
     0.86354170    -0.94787950    -0.94787950    -0.00000000
     0.86596059    -0.95245215    -0.95245215    -0.00000000
     0.86837947    -0.95688478    -0.95688478    -0.00000000
     0.87079836    -0.96117674    -0.96117674    -0.00000000
     0.87321724    -0.96532741    -0.96532741    -0.00000000
     0.87563613    -0.96933617    -0.96933617    -0.00000000
     0.87805501    -0.97320243    -0.97320243    -0.00000000
     0.88047389    -0.97692563    -0.97692563    -0.00000000
     0.88289278    -0.98050522    -0.98050522    -0.00000000
     0.88531166    -0.98394067    -0.98394067    -0.00000000
     0.88773055    -0.98723147    -0.98723147    -0.00000000
     0.89014943    -0.99037715    -0.99037715    -0.00000000
     0.89256832    -0.99337723    -0.99337723    -0.00000000
     0.89498720    -0.99623129    -0.99623129    -0.00000000
     0.89740609    -0.99893890    -0.99893890    -0.00000000
     0.89982497    -1.00149966    -1.00149966    -0.00000000
     0.90224385    -1.00391319    -1.00391319    -0.00000000
     0.90466274    -1.00617914    -1.00617914    -0.00000000
     0.90708162    -1.00829718    -1.00829718    -0.00000000
     0.90950051    -1.01026700    -1.01026700    -0.00000000
     0.91191939    -1.01208830    -1.01208830    -0.00000000
     0.91433828    -1.01376083    -1.01376083    -0.00000000
     0.91675716    -1.01528432    -1.01528432    -0.00000000
     0.91917604    -1.01665857    -1.01665857    -0.00000000
     0.92159493    -1.01788336    -1.01788336    -0.00000000
     0.92401381    -1.01895851    -1.01895851    -0.00000000
     0.92643270    -1.01988388    -1.01988388    -0.00000000
     0.92885158    -1.02065932    -1.02065932    -0.00000000
